line,pop_tot22,num_hh22,mhhi22,pop_tot17,num_hh17,mhhi17,var,rank_pop_tot22,rank_num_hh22,rank_mhhi22,rank_pop_tot17,rank_num_hh17,rank_mhhi17
1,1980424,903044,134807.21794444803,1980424,903044,134807.21794444803,flag1,4,4,5,4,4,5
2,2185032,919842,104935.5276469849,2185032,919842,104935.5276469849,flag2,2,3,17,2,3,17
3,1663808,732704,116820.33110019847,1663808,732704,116820.33110019847,flag3,12,10,13,12,10,13
4,1589149,651594,104083.77675491576,1589149,651594,104083.77675491576,flag4,13,13,18,13,13,18
5,1878697,776825,102570.79270441875,1878697,776825,102570.79270441875,flag5,7,7,19,7,7,19
6,1882325,846181,119638.01186819597,1882325,846181,119638.01186819597,flag6,6,5,9,6,5,9
7,893308,352265,96353.09296643623,893308,352265,96353.09296643623,flag7,20,20,23,20,20,23
A,1738312,706006,111965.9156612779,1738312,706006,111965.9156612779,flagA,9,12,14,9,12,14
B,2193945,930456,99561.85935319756,2193945,930456,99561.85935319756,flagB,1,2,22,1,2,22
C,2160293,964138,118205.60420432464,2160293,964138,118205.60420432464,flagC,3,1,12,3,1,12
D,1967106,765838,84577.57185627498,1967106,765838,84577.57185627498,flagD,5,8,25,5,8,25
E,914762,458577,140934.45434119276,914762,458577,140934.45434119276,flagE,19,17,3,19,17,3
F,1724219,760013,122081.27980103299,1724219,760013,122081.27980103299,flagF,10,9,8,10,9,8
G,804311,324861,125003.6208552637,804311,324861,125003.6208552637,flagG,22,22,6,22,22,6
J,1255048,465935,95137.1338431432,1255048,465935,95137.1338431432,flagJ,15,16,24,15,16,24
L,978124,426714,119629.7762896499,978124,426714,119629.7762896499,flagL,17,19,10,17,19,10
M,1687058,723477,110954.59031733517,1687058,723477,110954.59031733517,flagM,11,11,15,11,11,15
N,1054657,444853,119109.41932040217,1054657,444853,119109.41932040217,flagN,16,18,11,16,18,11
Q,1344809,605922,123661.83148329525,1344809,605922,123661.83148329525,flagQ,14,14,7,14,14,7
R,1851545,817109,136035.695540464,1851545,817109,136035.695540464,flagR,8,6,4,8,6,4
W,971720,487637,158697.5063485458,971720,487637,158697.5063485458,flagW,18,15,1,18,15,1
Z,840903,326126,105123.47902373159,840903,326126,105123.47902373159,flagZ,21,21,16,21,21,16
SI,164517,59297,100217.1862358001,164517,59297,100217.1862358001,flagSI,24,24,21,24,24,21
SM,61677,36626,153944.34681913216,61677,36626,153944.34681913216,flagSM,25,25,2,25,25,2
SB,172990,76689,101370.90545253562,172990,76689,101370.90545253562,flagSB,23,23,20,23,23,20
SQ,44685,16938,76538.3567962016,44685,16938,76538.3567962016,flagSQ,26,26,26,26,26,26
